Date,Open,High,Low,Close,Volume,Adj Close
2015-05-18,22402.169922,22513.279297,22370.769531,22492.019531,000,22492.019531
2015-05-15,22387.050781,22413.320312,22335.970703,22402.169922,000,22402.169922
2015-05-14,22159.939453,22390.109375,22159.939453,22387.050781,000,22387.050781
2015-05-13,22169.359375,22281.470703,22137.560547,22159.939453,000,22159.939453
2015-05-12,22224.810547,22226.720703,22012.789062,22169.359375,000,22169.359375
2015-05-11,22319.279297,22345.50,22215.210938,22224.810547,000,22224.810547
2015-05-08,22048.109375,22344.519531,22048.109375,22319.279297,000,22319.279297
2015-05-07,21967.099609,22096.369141,21907.130859,22048.109375,000,22048.109375
2015-05-06,22045.890625,22142.75,21843.380859,21967.099609,000,21967.099609
2015-05-05,22313.900391,22325.310547,22028.75,22045.890625,000,22045.890625
2015-05-04,22247.990234,22386.310547,22247.990234,22313.900391,000,22313.900391
2015-05-01,22034.289062,22249.359375,22034.289062,22247.990234,000,22247.990234
2015-04-30,22277.019531,22277.019531,21953.240234,22034.289062,000,22034.289062
2015-04-29,22367.189453,22367.189453,22188.189453,22277.019531,000,22277.019531
2015-04-28,22316.00,22387.300781,22164.279297,22367.189453,000,22367.189453
2015-04-27,22431.179688,22522.830078,22297.339844,22316.00,000,22316.00
2015-04-24,22396.189453,22461.759766,22393.820312,22431.179688,000,22431.179688
2015-04-23,22333.689453,22467.140625,22291.910156,22396.189453,000,22396.189453
2015-04-22,22232.140625,22352.640625,22164.410156,22333.689453,000,22333.689453
2015-04-21,22255.619141,22350.970703,22203.800781,22232.140625,000,22232.140625
2015-04-20,22060.789062,22290.960938,22060.789062,22255.619141,000,22255.619141
2015-04-17,22324.910156,22324.910156,21974.900391,22060.789062,000,22060.789062
2015-04-16,22339.080078,22384.210938,22268.519531,22324.910156,000,22324.910156
2015-04-15,22218.830078,22391.880859,22218.830078,22339.080078,000,22339.080078
2015-04-14,22187.130859,22244.890625,22087.160156,22218.830078,000,22218.830078
2015-04-13,22274.800781,22332.820312,22185.419922,22187.130859,000,22187.130859
2015-04-10,22171.279297,22277.669922,22171.279297,22274.800781,000,22274.800781
2015-04-09,22100.560547,22187.300781,22000.330078,22171.279297,000,22171.279297
2015-04-08,22026.570312,22139.679688,22014.330078,22100.560547,000,22100.560547
2015-04-07,22083.160156,22172.199219,22024.259766,22026.570312,000,22026.570312
2015-04-06,21946.619141,22145.060547,21842.330078,22083.169922,000,22083.169922
2015-04-02,21869.060547,22001.509766,21850.419922,21946.619141,000,21946.619141
2015-04-01,21947.910156,21947.910156,21749.339844,21869.060547,000,21869.060547
2015-03-31,22114.560547,22114.560547,21930.800781,21947.910156,000,21947.910156
2015-03-30,21846.789062,22138.929688,21846.789062,22114.560547,000,22114.560547
2015-03-27,21782.910156,21862.369141,21753.380859,21846.789062,000,21846.789062
2015-03-26,21832.169922,21891.509766,21673.009766,21782.910156,000,21782.910156
2015-03-25,22172.199219,22227.279297,21832.169922,21832.169922,000,21832.169922
2015-03-24,22293.019531,22326.339844,22171.869141,22172.199219,000,22172.199219
2015-03-23,22330.890625,22388.099609,22293.009766,22293.019531,000,22293.019531
2015-03-20,22135.800781,22376.189453,22135.800781,22330.890625,000,22330.890625
2015-03-19,22216.599609,22216.599609,22089.339844,22135.810547,000,22135.810547
2015-03-18,21963.939453,22290.400391,21840.25,22216.599609,000,22216.599609
2015-03-17,22006.560547,22006.560547,21862.359375,21963.929688,000,21963.929688
2015-03-16,21746.759766,22007.609375,21746.759766,22006.560547,000,22006.560547
2015-03-13,21869.630859,21869.630859,21613.160156,21746.759766,000,21746.759766
2015-03-12,21600.880859,21874.060547,21600.880859,21869.630859,000,21869.630859
2015-03-11,21616.910156,21676.75,21577.380859,21600.880859,000,21600.880859
2015-03-10,21960.689453,21960.689453,21616.910156,21616.910156,000,21616.910156
2015-03-09,21886.429688,21997.289062,21886.429688,21960.689453,000,21960.689453
2015-03-06,22192.839844,22192.839844,21848.630859,21886.429688,000,21886.429688
2015-03-05,22158.519531,22227.259766,22135.289062,22192.839844,000,22192.839844
2015-03-04,22255.789062,22255.789062,22048.830078,22158.519531,000,22158.519531
2015-03-03,22346.240234,22346.240234,22161.589844,22255.789062,000,22255.789062
2015-03-02,22212.339844,22346.580078,22212.339844,22346.240234,000,22346.240234
2015-02-27,22278.230469,22294.990234,22209.169922,22212.339844,000,22212.339844
2015-02-26,22314.560547,22314.560547,22206.869141,22278.230469,000,22278.230469
2015-02-25,22308.640625,22369.060547,22271.470703,22314.560547,000,22314.560547
2015-02-24,22260.00,22329.269531,22221.310547,22308.640625,000,22308.640625
2015-02-23,22278.550781,22278.550781,22189.810547,22260.00,000,22260.00
2015-02-20,22141.179688,22278.720703,22020.570312,22278.550781,000,22278.550781
2015-02-19,22161.029297,22184.349609,22070.529297,22141.179688,000,22141.179688
2015-02-18,22152.310547,22161.029297,22074.490234,22161.029297,000,22161.029297
2015-02-17,22120.810547,22164.789062,22047.529297,22152.310547,000,22152.310547
2015-02-13,22022.240234,22120.820312,22013.599609,22120.810547,000,22120.810547
2015-02-12,21807.210938,22022.240234,21807.210938,22022.240234,000,22022.240234
2015-02-11,21813.970703,21857.240234,21701.230469,21807.210938,000,21807.210938
2015-02-10,21602.519531,21836.580078,21602.519531,21813.970703,000,21813.970703
2015-02-09,21705.75,21705.810547,21559.189453,21602.519531,000,21602.519531
2015-02-06,21774.50,21870.630859,21649.410156,21705.75,000,21705.75
2015-02-05,21536.439453,21785.25,21536.439453,21774.50,000,21774.50
2015-02-04,21624.779297,21666.160156,21490.619141,21536.439453,000,21536.439453
2015-02-03,21310.470703,21626.269531,21310.470703,21624.779297,000,21624.779297
2015-02-02,21060.439453,21314.609375,20902.230469,21310.470703,000,21310.470703
2015-01-30,21329.589844,21345.449219,21045.550781,21060.439453,000,21060.439453
2015-01-29,21135.570312,21354.980469,20999.269531,21329.589844,000,21329.589844
2015-01-28,21435.560547,21560.970703,21123.560547,21135.570312,000,21135.570312
2015-01-27,21685.830078,21685.830078,21321.619141,21435.560547,000,21435.560547
2015-01-26,21588.009766,21688.740234,21490.25,21685.830078,000,21685.830078
2015-01-23,21685.029297,21691.650391,21575.710938,21588.009766,000,21588.009766
2015-01-22,21352.669922,21697.019531,21298.169922,21685.029297,000,21685.029297
2015-01-21,21258.140625,21418.679688,21152.240234,21352.669922,000,21352.669922
2015-01-20,21244.679688,21335.580078,21078.689453,21258.140625,000,21258.140625
2015-01-16,20953.339844,21254.849609,20920.619141,21244.679688,000,21244.679688
2015-01-15,21164.949219,21268.089844,20941.949219,20953.339844,000,20953.339844
2015-01-14,21280.560547,21280.560547,20922.339844,21164.949219,000,21164.949219
2015-01-13,21330.689453,21628.720703,21118.300781,21280.560547,000,21280.560547
2015-01-12,21497.119141,21537.539062,21262.339844,21330.630859,000,21330.630859
2015-01-09,21672.390625,21692.150391,21428.210938,21497.119141,000,21497.119141
2015-01-08,21359.439453,21687.550781,21359.439453,21672.390625,000,21672.390625
2015-01-07,21111.339844,21323.880859,21111.339844,21301.669922,000,21301.669922
2015-01-06,21291.230469,21348.710938,20947.220703,21060.25,000,21060.25
2015-01-05,21665.310547,21665.310547,21233.560547,21269.060547,000,21269.060547
2015-01-02,21710.300781,21807.839844,21534.070312,21665.320312,000,21665.320312
2014-12-31,21895.539062,21942.660156,21661.919922,21669.859375,000,21669.859375
2014-12-30,21977.519531,21977.519531,21868.019531,21876.169922,000,21876.169922
2014-12-29,21949.039062,22004.679688,21920.560547,21977.519531,000,21977.519531
2014-12-26,21895.859375,21988.130859,21867.830078,21949.029297,000,21949.029297
2014-12-24,21857.50,21922.269531,21857.50,21867.830078,000,21867.830078
2014-12-23,21811.220703,21898.830078,21811.220703,21857.50,000,21857.50
2014-12-22,21727.50,21814.00,21712.150391,21811.189453,000,21811.189453
2014-12-19,21633.300781,21795.949219,21619.070312,21727.50,000,21727.50
2014-12-18,21158.580078,21633.300781,21158.580078,21633.300781,000,21633.300781
2014-12-17,20703.089844,21190.390625,20703.089844,21158.580078,000,21158.580078
2014-12-16,20858.439453,21135.410156,20701.269531,20703.089844,000,20703.089844
2014-12-15,21009.830078,21171.380859,20785.470703,20858.439453,000,20858.439453
2014-12-12,21338.890625,21338.890625,21009.830078,21009.830078,000,21009.830078
2014-12-11,21244.730469,21550.460938,21244.730469,21338.890625,000,21338.890625
2014-12-10,21616.029297,21616.029297,21226.880859,21244.730469,000,21244.730469
2014-12-09,21581.910156,21585.189453,21320.470703,21536.179688,000,21536.179688
2014-12-08,21775.240234,21778.810547,21522.599609,21581.910156,000,21581.910156
2014-12-05,21733.199219,21816.939453,21727.759766,21775.240234,000,21775.240234
2014-12-04,21765.080078,21786.400391,21639.980469,21733.199219,000,21733.199219
2014-12-03,21665.189453,21787.800781,21664.779297,21765.080078,000,21765.080078
2014-12-02,21522.970703,21689.109375,21522.970703,21665.189453,000,21665.189453
2014-12-01,21731.179688,21731.179688,21496.289062,21522.970703,000,21522.970703
2014-11-28,21826.240234,21850.630859,21710.539062,21731.179688,000,21731.179688
2014-11-26,21761.119141,21829.109375,21753.140625,21826.240234,000,21826.240234
2014-11-25,21778.990234,21833.730469,21728.50,21761.119141,000,21761.119141
2014-11-24,21696.140625,21781.240234,21696.140625,21778.990234,000,21778.990234
2014-11-21,21592.830078,21794.589844,21592.830078,21696.140625,000,21696.140625
2014-11-20,21526.380859,21595.449219,21440.769531,21592.830078,000,21592.830078
2014-11-19,21572.589844,21572.589844,21437.630859,21526.380859,000,21526.380859
2014-11-18,21461.910156,21616.939453,21461.910156,21572.589844,000,21572.589844
2014-11-17,21467.769531,21486.400391,21398.279297,21461.910156,000,21461.910156
2014-11-14,21456.019531,21488.609375,21422.810547,21467.769531,000,21467.769531
2014-11-13,21468.119141,21544.429688,21381.960938,21456.019531,000,21456.019531
2014-11-12,21462.669922,21487.189453,21380.50,21468.119141,000,21468.119141
2014-11-11,21447.210938,21471.699219,21409.599609,21462.669922,000,21462.669922
2014-11-10,21381.830078,21451.429688,21375.390625,21447.210938,000,21447.210938
2014-11-07,21359.810547,21400.070312,21300.609375,21381.830078,000,21381.830078
2014-11-06,21259.910156,21360.679688,21203.330078,21359.810547,000,21359.810547
2014-11-05,21176.349609,21291.810547,21176.349609,21269.720703,000,21269.720703
2014-11-04,21260.259766,21260.259766,21065.039062,21176.349609,000,21176.349609
2014-11-03,21256.740234,21340.849609,21216.150391,21260.259766,000,21260.259766
2014-10-31,21005.50,21257.179688,21005.50,21256.740234,000,21256.740234
2014-10-30,20885.019531,21056.210938,20798.960938,21005.50,000,21005.50
2014-10-29,20928.810547,20985.289062,20745.550781,20885.019531,000,20885.019531
2014-10-28,20654.160156,20928.810547,20654.160156,20928.810547,000,20928.810547
2014-10-27,20690.130859,20690.130859,20528.660156,20654.160156,000,20654.160156
2014-10-24,20563.990234,20696.529297,20511.460938,20690.130859,000,20690.130859
2014-10-23,20307.949219,20680.269531,20307.949219,20563.990234,000,20563.990234
2014-10-22,20483.439453,20566.080078,20304.679688,20307.949219,000,20307.949219
2014-10-21,20089.400391,20493.779297,20089.400391,20483.439453,000,20483.439453
